timestamp,a100_timestamp,a100_sensor_id,a100_channel,a100_pressure_value,a100_status,a200_timestamp,a200_sensor_id,a200_channel,a200_pressure_value,a200_status,chiller_timestamp,chiller_current_temperature,chiller_set_temperature,chiller_status
2025-09-12 14:52:16.670240,2025-09-12 14:52:16.723254,A100,1,1010.9999999999999,OK,2025-09-12 14:52:16.787266,A200,2,0.01179,OK,2025-09-12 14:52:16.790267,22.98,16.0,OK
2025-09-12 14:52:17.304127,2025-09-12 14:52:17.362140,A100,1,1010.9999999999999,OK,2025-09-12 14:52:17.410150,A200,2,0.011779999999999999,OK,2025-09-12 14:52:17.413151,22.98,16.0,OK
2025-09-12 14:52:17.921718,2025-09-12 14:52:17.986733,A100,1,1010.9999999999999,OK,2025-09-12 14:52:18.034744,A200,2,0.01183,OK,2025-09-12 14:52:18.037745,22.98,16.0,OK
2025-09-12 14:52:18.539482,2025-09-12 14:52:18.594495,A100,1,1010.9999999999999,OK,2025-09-12 14:52:18.642506,A200,2,0.011779999999999999,OK,2025-09-12 14:52:18.645506,22.98,16.0,OK
2025-09-12 14:52:19.161852,2025-09-12 14:52:19.217864,A100,1,1010.9999999999999,OK,2025-09-12 14:52:19.265893,A200,2,0.011810000000000001,OK,2025-09-12 14:52:19.269894,22.98,16.0,OK
2025-09-12 14:52:19.785028,2025-09-12 14:52:19.842041,A100,1,1010.9999999999999,OK,2025-09-12 14:52:19.890052,A200,2,0.01179,OK,2025-09-12 14:52:19.893053,22.98,16.0,OK
2025-09-12 14:52:20.405733,2025-09-12 14:52:20.464764,A100,1,1010.9999999999999,OK,2025-09-12 14:52:20.513045,A200,2,0.011779999999999999,OK,2025-09-12 14:52:20.652079,22.98,16.0,OK
2025-09-12 14:52:21.184610,2025-09-12 14:52:21.232621,A100,1,1010.9999999999999,OK,2025-09-12 14:52:21.280632,A200,2,0.011810000000000001,OK,2025-09-12 14:52:21.284633,22.97,16.0,OK
2025-09-12 14:52:21.789748,2025-09-12 14:52:21.856764,A100,1,1010.9999999999999,OK,2025-09-12 14:52:21.908775,A200,2,0.011819999999999999,OK,2025-09-12 14:52:21.914777,22.97,16.0,OK
2025-09-12 14:52:22.429894,2025-09-12 14:52:22.480905,A100,1,1010.9999999999999,OK,2025-09-12 14:52:22.544924,A200,2,0.0118,OK,2025-09-12 14:52:22.547924,22.97,16.0,OK
2025-09-12 14:52:23.070043,2025-09-12 14:52:23.152061,A100,1,1010.9999999999999,OK,2025-09-12 14:52:23.216076,A200,2,0.011779999999999999,OK,2025-09-12 14:52:23.225079,22.97,16.0,OK
2025-09-12 14:52:23.740473,2025-09-12 14:52:23.791484,A100,1,1010.9999999999999,OK,2025-09-12 14:52:23.839495,A200,2,0.011819999999999999,OK,2025-09-12 14:52:23.843521,22.97,16.0,OK
2025-09-12 14:52:24.353876,2025-09-12 14:52:24.415889,A100,1,1010.9999999999999,OK,2025-09-12 14:52:24.479905,A200,2,0.01172,OK,2025-09-12 14:52:24.482905,22.97,16.0,OK
2025-09-12 14:52:24.985589,2025-09-12 14:52:25.039602,A100,1,1010.9999999999999,OK,2025-09-12 14:52:25.103616,A200,2,0.011770000000000001,OK,2025-09-12 14:52:25.106617,22.97,16.0,OK
2025-09-12 14:52:25.621008,2025-09-12 14:52:25.679021,A100,1,1010.9999999999999,OK,2025-09-12 14:52:25.727315,A200,2,0.011819999999999999,OK,2025-09-12 14:52:25.730316,22.97,16.0,OK
2025-09-12 14:52:26.241432,2025-09-12 14:52:26.302446,A100,1,1010.9999999999999,OK,2025-09-12 14:52:26.350457,A200,2,0.01184,OK,2025-09-12 14:52:26.354458,22.97,16.0,OK
2025-09-12 14:52:26.863612,2025-09-12 14:52:26.926626,A100,1,1010.9999999999999,OK,2025-09-12 14:52:26.974637,A200,2,0.011810000000000001,OK,2025-09-12 14:52:26.978638,22.97,16.0,OK
2025-09-12 14:52:27.486337,2025-09-12 14:52:27.550643,A100,1,1010.9999999999999,OK,2025-09-12 14:52:27.613658,A200,2,0.011779999999999999,OK,2025-09-12 14:52:27.617658,22.97,16.0,OK
2025-09-12 14:52:28.123802,2025-09-12 14:52:28.173813,A100,1,1010.9999999999999,OK,2025-09-12 14:52:28.237828,A200,2,0.01174,OK,2025-09-12 14:52:28.241829,22.97,16.0,OK
2025-09-12 14:52:28.744473,2025-09-12 14:52:28.797485,A100,1,1010.9999999999999,OK,2025-09-12 14:52:28.987528,A200,2,0.011779999999999999,OK,2025-09-12 14:52:29.009534,22.97,16.0,OK
2025-09-12 14:52:29.525938,2025-09-12 14:52:29.580951,A100,1,1010.9999999999999,OK,2025-09-12 14:52:29.645023,A200,2,0.011779999999999999,OK,2025-09-12 14:52:29.649024,22.97,16.0,OK
2025-09-12 14:52:30.162474,2025-09-12 14:52:30.227489,A100,1,1010.9999999999999,OK,2025-09-12 14:52:30.285502,A200,2,0.011779999999999999,OK,2025-09-12 14:52:30.288502,22.97,16.0,OK
2025-09-12 14:52:30.800888,2025-09-12 14:52:30.844898,A100,1,1010.9999999999999,OK,2025-09-12 14:52:30.908913,A200,2,0.011779999999999999,OK,2025-09-12 14:52:30.912914,22.97,16.0,OK
2025-09-12 14:52:31.424031,2025-09-12 14:52:31.485044,A100,1,1010.9999999999999,OK,2025-09-12 14:52:31.566063,A200,2,0.011770000000000001,OK,2025-09-12 14:52:31.570064,22.97,16.0,OK
2025-09-12 14:52:32.075180,2025-09-12 14:52:32.140195,A100,1,1010.9999999999999,OK,2025-09-12 14:52:32.188588,A200,2,0.01172,OK,2025-09-12 14:52:32.191589,22.97,16.0,OK
2025-09-12 14:52:32.695244,2025-09-12 14:52:32.748257,A100,1,1010.9999999999999,OK,2025-09-12 14:52:32.812271,A200,2,0.011770000000000001,OK,2025-09-12 14:52:32.815272,22.97,16.0,OK
2025-09-12 14:52:33.316663,2025-09-12 14:52:33.371676,A100,1,1010.9999999999999,OK,2025-09-12 14:52:33.435692,A200,2,0.01176,OK,2025-09-12 14:52:33.439693,22.97,16.0,OK
2025-09-12 14:52:33.939807,2025-09-12 14:52:33.995820,A100,1,1010.9999999999999,OK,2025-09-12 14:52:34.043160,A200,2,0.0117,OK,2025-09-12 14:52:34.047161,22.97,16.0,OK
2025-09-12 14:52:34.561411,2025-09-12 14:52:34.619424,A100,1,1010.9999999999999,OK,2025-09-12 14:52:34.667467,A200,2,0.011819999999999999,OK,2025-09-12 14:52:34.670468,22.97,16.0,OK
2025-09-12 14:52:35.179392,2025-09-12 14:52:35.242406,A100,1,1010.9999999999999,OK,2025-09-12 14:52:35.291417,A200,2,0.011810000000000001,OK,2025-09-12 14:52:35.294418,22.97,16.0,OK
2025-09-12 14:52:35.800566,2025-09-12 14:52:35.850897,A100,1,1010.0,OK,2025-09-12 14:52:35.898908,A200,2,0.011779999999999999,OK,2025-09-12 14:52:35.902909,22.97,16.0,OK
2025-09-12 14:52:36.406031,2025-09-12 14:52:36.474047,A100,1,1010.9999999999999,OK,2025-09-12 14:52:36.522058,A200,2,0.011810000000000001,OK,2025-09-12 14:52:36.526059,22.97,16.0,OK
2025-09-12 14:52:37.027173,2025-09-12 14:52:37.082185,A100,1,1010.9999999999999,OK,2025-09-12 14:52:37.175206,A200,2,0.01179,OK,2025-09-12 14:52:37.303235,22.97,16.0,OK
2025-09-12 14:52:37.807371,2025-09-12 14:52:37.865384,A100,1,1010.9999999999999,OK,2025-09-12 14:52:37.913395,A200,2,0.011779999999999999,OK,2025-09-12 14:52:37.917396,22.97,16.0,OK
2025-09-12 14:52:38.506530,2025-09-12 14:52:38.613554,A100,1,1010.9999999999999,OK,2025-09-12 14:52:38.681570,A200,2,0.01179,OK,2025-09-12 14:52:38.690572,22.97,16.0,OK
2025-09-12 14:52:39.193340,2025-09-12 14:52:39.241351,A100,1,1010.9999999999999,OK,2025-09-12 14:52:39.305366,A200,2,0.011779999999999999,OK,2025-09-12 14:52:39.308366,22.97,16.0,OK
2025-09-12 14:52:39.825791,2025-09-12 14:52:39.880803,A100,1,1010.9999999999999,OK,2025-09-12 14:52:39.928814,A200,2,0.01176,OK,2025-09-12 14:52:39.932815,22.97,16.0,OK
2025-09-12 14:52:40.435932,2025-09-12 14:52:40.488944,A100,1,1010.9999999999999,OK,2025-09-12 14:52:40.552959,A200,2,0.01179,OK,2025-09-12 14:52:40.555959,22.97,16.0,OK
2025-09-12 14:52:41.059093,2025-09-12 14:52:41.112105,A100,1,1010.9999999999999,OK,2025-09-12 14:52:41.176727,A200,2,0.011779999999999999,OK,2025-09-12 14:52:41.180728,22.96,16.0,OK
2025-09-12 14:52:41.695850,2025-09-12 14:52:41.751863,A100,1,1010.9999999999999,OK,2025-09-12 14:52:41.815895,A200,2,0.011779999999999999,OK,2025-09-12 14:52:41.818895,22.96,16.0,OK
2025-09-12 14:52:42.335013,2025-09-12 14:52:42.392026,A100,1,1010.9999999999999,OK,2025-09-12 14:52:42.440037,A200,2,0.011779999999999999,OK,2025-09-12 14:52:42.443038,22.96,16.0,OK
2025-09-12 14:52:42.954583,2025-09-12 14:52:43.015597,A100,1,1010.9999999999999,OK,2025-09-12 14:52:43.063240,A200,2,0.011770000000000001,OK,2025-09-12 14:52:43.067241,22.96,16.0,OK
2025-09-12 14:52:43.575375,2025-09-12 14:52:43.639395,A100,1,1010.9999999999999,OK,2025-09-12 14:52:43.687406,A200,2,0.011779999999999999,OK,2025-09-12 14:52:43.690406,22.96,16.0,OK
2025-09-12 14:52:44.196522,2025-09-12 14:52:44.247533,A100,1,1010.9999999999999,OK,2025-09-12 14:52:44.456587,A200,2,0.011779999999999999,OK,2025-09-12 14:52:44.479593,22.96,16.0,OK
2025-09-12 14:52:44.994712,2025-09-12 14:52:45.047005,A100,1,1010.9999999999999,OK,2025-09-12 14:52:45.111299,A200,2,0.011779999999999999,OK,2025-09-12 14:52:45.114300,22.96,16.0,OK
2025-09-12 14:52:45.628417,2025-09-12 14:52:45.697439,A100,1,1010.9999999999999,OK,2025-09-12 14:52:45.750451,A200,2,0.011779999999999999,OK,2025-09-12 14:52:45.753452,22.96,16.0,OK
2025-09-12 14:52:46.254782,2025-09-12 14:52:46.309794,A100,1,1010.9999999999999,OK,2025-09-12 14:52:46.357805,A200,2,0.011770000000000001,OK,2025-09-12 14:52:46.361806,22.96,16.0,OK
2025-09-12 14:52:46.878516,2025-09-12 14:52:46.945531,A100,1,1010.9999999999999,OK,2025-09-12 14:52:47.009546,A200,2,0.011770000000000001,OK,2025-09-12 14:52:47.013546,22.96,16.0,OK
