timestamp,config,hvps_mask,heat_mask,result
2026-07-24T12:19:55,179,YNNY,NYNY,o: tripped; all go off
2026-07-24T12:20:01,180,NYNY,NYNY,o: tripped; all go off
2026-07-24T12:20:08,181,YYNY,NYNY,o: tripped; all go off
2026-07-24T12:20:27,182,NNYY,NYNY,o: tripped; heater works; HV always off
2026-07-24T12:20:44,183,YNYY,NYNY,o: tripped; heater works; HV always off
2026-07-24T12:20:49,184,NYYY,NYNY,o: tripped; heater works; HV always off
2026-07-24T12:20:54,185,YYYY,NYNY,o: tripped; heater works; HV always off
2026-07-24T12:20:58,186,NNNN,YYNY,n
2026-07-24T12:21:03,187,YNNN,YYNY,n
2026-07-24T12:21:07,188,NYNN,YYNY,n
2026-07-24T12:21:10,189,YYNN,YYNY,n
2026-07-24T12:21:17,190,NNYN,YYNY,o: tripped; heater works; HV always off
2026-07-24T12:21:30,191,YNYN,YYNY,o: tripped; heater works; HV always off
2026-07-24T12:21:36,192,NYYN,YYNY,o: tripped; heater works; HV always off
2026-07-24T12:21:43,193,YYYN,YYNY,o: tripped; heater works; HV always off
2026-07-24T12:22:07,194,NNNY,YYNY,o: tripped; all go off
2026-07-24T12:22:13,195,YNNY,YYNY,o: tripped; all go off
2026-07-24T12:22:18,196,NYNY,YYNY,o: tripped; all go off
2026-07-24T12:22:24,197,YYNY,YYNY,o: tripped; all go off
2026-07-24T12:22:44,198,NNYY,YYNY,o: tripped; heater works; HV always off
2026-07-24T12:22:50,199,YNYY,YYNY,o: tripped; heater works; HV always off
2026-07-24T12:22:57,200,NYYY,YYNY,o: tripped; heater works; HV always off
2026-07-24T12:23:02,201,YYYY,YYNY,o: tripped; heater works; HV always off
2026-07-24T12:23:27,202,NNNN,NNYY,o: nothing tripped; heater alwas off; HV always on
2026-07-24T12:23:34,203,YNNN,NNYY,o: nothing tripped; heater alwas off; HV always on
2026-07-24T12:23:40,204,NYNN,NNYY,o: nothing tripped; heater alwas off; HV always on
2026-07-24T12:23:45,205,YYNN,NNYY,o: nothing tripped; heater alwas off; HV always on
2026-07-24T12:24:02,206,NNYN,NNYY,o: nothing works
